code_pac,code_precision,lbl_pac,code_cpf,lbl_cpf,correspondance_directe
CIB,,Ciboulette,01.28.19.44,Ciboulette,1
CID,,Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%,*,,0
CIT,,Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%,*,,0
CMB,,Courge musquée / Butternut,01.13.39.3,Courges et citrouilles,1
CMM,,Camomille,01.28.19.28,Camomille romaine,1
CNE,,Chênaie non entretenue par des porcins ou des petits ruminants,01.95.19,"Bois non pâturés, sans cueillette",1
CPA,,Autre céréale de printemps de genre Avena,01.11.33,Avoine,1
CPH,,Autre céréale de printemps de genre Hordeum,01.11.31,Orges,1
CPL,,"Mélange multi-espèces (céréales, oléagineux, légumineuses, …) sans graminées prairiales et sans prédominance de légumineuses",01.11.49.31,Mélanges Céréaliers (sans légumineuses),1
CPL,001,"Mélange multi-espèces (céréales, oléagineux, légumineuses, …) sans graminées prairiales et sans prédominance de légumineuses - Récolte en grains",01.11.49.31,Mélanges Céréaliers (sans légumineuses),1
CPL,002,"Mélange multi-espèces (céréales, oléagineux, légumineuses, …) sans graminées prairiales et sans prédominance de légumineuses - Récolte plante entière",01.11.49.31,Mélanges Céréaliers (sans légumineuses),1
CPS,,Autre céréale de printemps de genre Secale,01.11.32,Seigle,1
CPT,,Autre céréale de printemps de genre Triticum,01.11.49.9,Autres céréales,1
CPZ,,Autre céréale de printemps de genre Zea,01.11.49.9,Autres céréales,1
CRA,,Cresson alénois de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
CRD,,Coriandre,01.28.14.1,Coriandre (graines),1
CRF,,Cerfeuil,01.28.19.29,Cerfeuil,1
CRN,,Cornille,01.11.76,"Dolique à œil noir (pois du brésil, niébé)",1
CRS,,Cresson,01.13.19.4,Cresson,1
CSA,,Canne à sucre,01.14.1,Cannes à sucre,1
CSA,001,Canne à sucre - Fermage,01.14.1,Cannes à sucre,1
CSA,002,Canne à sucre - Propriété ou faire valoir direct,01.14.1,Cannes à sucre,1
CSA,003,Canne à sucre - Indivision,01.14.1,Cannes à sucre,1
CSA,004,Canne à sucre - Réforme foncière,01.14.1,Cannes à sucre,1
CSA,005,Canne à sucre - Autre,01.14.1,Cannes à sucre,1
CSE,,Chanvre sans étiquette conforme,01.16.19.2,Chanvre,1
CSF,,Canne à sucre - fermage,01.14.1,Cannes à sucre,1
CSI,,Canne à sucre - indivision,01.14.1,Cannes à sucre,1
CSP,,Canne à sucre - propriété ou faire valoir direct,01.14.1,Cannes à sucre,1
CSR,,Canne à sucre - réforme foncière,01.14.1,Cannes à sucre,1
CSS,,Culture sous serre hors sol,*,,0
CTG,,Châtaigne,01.25.32,Châtaignes et marrons,1
CTG,001,Châtaigne - Verger de plus de 5 ans,01.25.32,Châtaignes et marrons,1
CTG,002,Châtaigne - Verger de 5 ans ou moins,01.25.32,Châtaignes et marrons,1
CUA,,Culture sous abattis,*,,0
CUM,,Cumin,01.28.14.9,"Cumin, carvi et genièvre, bruts",1
CUR,,Curcuma,01.28.19.51,Curcuma,1
CZH,,Colza d’hiver,01.11.93,Colza,1
CZH,001,Colza d’hiver - Récolte en grains,01.11.93,Colza,1
CZH,002,Colza d’hiver - Récolte plante entière,01.11.93,Colza,1
CZP,,Colza de printemps,01.11.93,Colza,1
CZP,001,Colza de printemps - Récolte en grains,01.11.93,Colza,1
CZP,002,Colza de printemps - Récolte plante entière,01.11.93,Colza,1
DOL,,Dolique,01.11.76,"Dolique à œil noir (pois du brésil, niébé)",1
DTY,,Dactyle de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
EPE,,Épeautre,01.11.49.1,Epeautre,1
EPE,001,Épeautre - Récolte en grains,01.11.49.1,Epeautre,1
EPE,002,Épeautre - Récolte plante entière,01.11.49.1,Epeautre,1
EPI,,Épinard,01.13.16,Épinards,1
EPI,001,Epinard,01.13.16,Épinards,1
EPI,002,Oseille,01.28.19.46,Oseille,1
EPI,003,Bette,01.13.19.6,Blettes,1
EST,,Estragon,01.28.19.45,Estragon,1
FAG,,Autre fourrage annuel d’un autre genre,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
FET,,Fétuque de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
FEV,,Fève,01.11.69.2,Fèves (fraîches),1
FEV,001,Fève - Récolte en grains,01.11.69.2,Fèves (fraîches),1
FEV,002,Fève - Récolte plante entière,01.11.69.2,Fèves (fraîches),1
FF5,,Féverole fourragère implantée pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
FF6,,Féverole fourragère implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
FF7,,Féverole fourragère implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
FF8,,Féverole fourragère implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
FFO,,Autre féverole fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
FLA,,Autre légume ou fruit annuel,01.13*,,0
FLA,001,Autre fruit,"01.13.2*,01.13.3*",,0
FLA,002,Autre légume frais,01.13*,,0
FLA,003,Champignon (culture de plein champ),01.13.80.1,Champignons,1
FLO,,Fléole de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
FLP,,Autre légume ou fruit pérenne,"01.13*,01.22*,01.23*,01.24*,01.25*,01.26*",,0
FLP,001,Asperge,01.13.11,Asperges,1
